,timestamp,time_granted,RTM_P_cleared,RTM_Q_cleared
0,2021-08-06 00:15:10,910.0,25.059301531951053,6870.828290195594
1,2021-08-06 00:30:10,1810.0,23.615324066950965,5019.594055884676
2,2021-08-06 00:45:10,2710.0,23.428719584048995,5002.020290642109
3,2021-08-06 01:00:10,3610.0,23.254774308856792,4972.329085395525
4,2021-08-06 01:15:10,4510.0,22.927930960445515,4741.127860626288
5,2021-08-06 01:30:10,5410.0,22.98932098022539,4879.51026592825
6,2021-08-06 01:45:10,6310.0,22.978950085682527,4933.606935029401
7,2021-08-06 02:00:10,7210.0,23.0029369789848,5003.753609967706
8,2021-08-06 02:15:10,8110.0,22.679712099113996,4555.564830778748
9,2021-08-06 02:30:10,9010.0,22.82561921395653,4604.900322102515
10,2021-08-06 02:45:10,9910.0,22.883984465690897,4587.1001382979075
11,2021-08-06 03:00:10,10810.0,22.90827050045839,4475.278508688575
12,2021-08-06 03:15:10,11710.0,23.00533507259638,4441.359479490365
13,2021-08-06 03:30:10,12610.0,23.10677139607648,4386.789447868585
14,2021-08-06 03:45:10,13510.0,23.329427369220326,4481.542790853283
15,2021-08-06 04:00:10,14410.0,23.41727017579932,4296.142869979872
16,2021-08-06 04:15:10,15310.0,23.647235457850492,4430.520983666588
17,2021-08-06 04:30:10,16210.0,23.788814844837702,4464.970931554091
18,2021-08-06 04:45:10,17110.0,23.836412471726227,4365.522419351098
19,2021-08-06 05:00:10,18010.0,23.944394540905385,4263.81621810035
20,2021-08-06 05:15:10,18910.0,24.38783822128984,4540.015901663961
21,2021-08-06 05:30:10,19810.0,24.538286824468887,4504.3145370740895
22,2021-08-06 05:45:10,20710.0,24.734195765474723,4499.661745586556
23,2021-08-06 06:00:10,21610.0,25.07741215837939,4637.637646227828
24,2021-08-06 06:15:10,22510.0,25.36160036007651,4571.8086616617775
25,2021-08-06 06:30:10,23410.0,25.65648498222141,4836.0189646567005
26,2021-08-06 06:45:10,24310.0,25.933765525346185,4547.427054460174
27,2021-08-06 07:00:10,25210.0,26.546934856737938,4393.011097754979
28,2021-08-06 07:15:10,26110.0,27.07429815094244,4465.108949410523
29,2021-08-06 07:30:10,27010.0,27.278923177816925,4406.414509815305
30,2021-08-06 07:45:10,27910.0,27.247359580770585,4021.4985908228923
31,2021-08-06 08:00:10,28810.0,27.508503098039096,3989.254507833081
32,2021-08-06 08:15:10,29710.0,28.140524159674488,4029.334562498821
33,2021-08-06 08:30:10,30610.0,28.0904804761892,3883.571107466476
34,2021-08-06 08:45:10,31510.0,27.732744868503328,3737.24922043759
35,2021-08-06 09:00:10,32410.0,27.81042503025127,3654.035079495284
36,2021-08-06 09:15:10,33310.0,28.797692895831723,3565.705085315602
37,2021-08-06 09:30:10,34210.0,29.590156305738464,3786.087232170716
38,2021-08-06 09:45:10,35110.0,29.536814974054764,3508.4271817943877
39,2021-08-06 10:00:10,36010.0,29.65273809552679,3380.4636376543995
40,2021-08-06 10:15:10,36910.0,29.712526590867554,3281.5275061812285
41,2021-08-06 10:30:10,37810.0,29.29218520114447,3210.2516965465893
42,2021-08-06 10:45:10,38710.0,28.900131234995964,3291.925979796728
43,2021-08-06 11:00:10,39610.0,26.728729056335883,3094.1374105885216
44,2021-08-06 11:15:10,40510.0,26.36900444206026,3119.4201604291484
45,2021-08-06 11:30:10,41410.0,25.33200042212775,2998.4293814101684
46,2021-08-06 11:45:10,42310.0,25.48040216722181,3398.9730081265234
47,2021-08-06 12:00:10,43210.0,24.936215408846593,3111.20314671983
48,2021-08-06 12:15:10,44110.0,25.11010557625429,3329.7509891662803
