,timestamp,time_granted,V
0,2021-08-06 00:05:10,310.0,(-344.19739351854747-23.519232450021725j)
1,2021-08-06 00:10:10,610.0,(-344.29708728653833-22.011717016303077j)
2,2021-08-06 00:15:10,910.0,(-330.9424401550077-97.47872231543232j)
3,2021-08-06 00:20:10,1210.0,(292.605177025624+182.77639447642912j)
4,2021-08-06 00:25:10,1510.0,(286.5849707774524+192.07825104494984j)
5,2021-08-06 00:30:10,1810.0,(281.01245293715954+200.1424525038122j)
6,2021-08-06 00:35:10,2110.0,(327.47574295845067+108.55707150531813j)
7,2021-08-06 00:40:10,2410.0,(326.3781315444296+111.81375250642034j)
8,2021-08-06 00:45:10,2710.0,(325.56116872088353+114.17059788357248j)
9,2021-08-06 00:50:10,3010.0,(326.0684257589335+112.71371577182124j)
10,2021-08-06 00:55:10,3310.0,(325.7143895495687+113.73274128566408j)
11,2021-08-06 01:00:10,3610.0,(322.37261376772034+122.88571069318108j)
12,2021-08-06 01:05:10,3910.0,(327.60294277942364+108.17260227183988j)
13,2021-08-06 01:10:10,4210.0,(320.9079035752952+126.66142831544661j)
14,2021-08-06 01:15:10,4510.0,(321.9143852054607+124.08113715545275j)
15,2021-08-06 01:20:10,4810.0,(331.20106866447077+96.59633593212791j)
16,2021-08-06 01:25:10,5110.0,(328.2376578504474+106.23106875510867j)
17,2021-08-06 01:30:10,5410.0,(325.0978007655838+115.48341845209107j)
18,2021-08-06 01:35:10,5710.0,(325.66340701062484+113.87864301190153j)
19,2021-08-06 01:40:10,6010.0,(326.7099778957412+110.84038227723825j)
20,2021-08-06 01:45:10,6310.0,(325.5776814033928+114.12350052461093j)
21,2021-08-06 01:50:10,6610.0,(325.6263450284573+113.98457537495182j)
22,2021-08-06 01:55:10,6910.0,(327.1157102528026+109.63718395601232j)
23,2021-08-06 02:00:10,7210.0,(323.16069801804025+120.79802670777778j)
24,2021-08-06 02:05:10,7510.0,(322.3369851145213+122.9791365528351j)
25,2021-08-06 02:10:10,7810.0,(315.55921830873706+139.4538624075319j)
26,2021-08-06 02:15:10,8110.0,(313.1312534805814+144.8234031283614j)
27,2021-08-06 02:20:10,8410.0,(324.3477441739321+117.5735550592969j)
28,2021-08-06 02:25:10,8710.0,(325.1451878116522+115.34993213229656j)
29,2021-08-06 02:30:10,9010.0,(322.8627368284794+121.59215915355736j)
30,2021-08-06 02:35:10,9310.0,(324.79580070061684+116.3300814374562j)
31,2021-08-06 02:40:10,9610.0,(322.8253661559883+121.6913430209892j)
32,2021-08-06 02:45:10,9910.0,(322.1009105944578+123.59613017494164j)
33,2021-08-06 02:50:10,10210.0,(320.05572777215355+128.79957732941972j)
34,2021-08-06 02:55:10,10510.0,(320.0243836460096+128.87743740465854j)
35,2021-08-06 03:00:10,10810.0,(319.58084207022466+129.97340259332333j)
36,2021-08-06 03:05:10,11110.0,(324.31229769944343+117.67129454929768j)
37,2021-08-06 03:10:10,11410.0,(320.8668458124459+126.76540245024306j)
38,2021-08-06 03:15:10,11710.0,(321.79621700572636+124.38727716612938j)
39,2021-08-06 03:20:10,12010.0,(319.8442929744521+129.32373429372052j)
40,2021-08-06 03:25:10,12310.0,(319.99341303810235+128.95431598913794j)
