,timestamp,time_granted,DAM_P_cleared,DAM_Q_cleared
0,2021-08-08 00:00:00,0.0,116.16094876969119,180.872550650346
1,2021-08-08 01:00:00,3600.0,33.23286658120832,179.258351732757
2,2021-08-08 02:00:00,7200.0,25.325123395357288,175.420270645968
3,2021-08-08 03:00:00,10800.0,25.433137033255797,164.671714665166
4,2021-08-08 04:00:00,14400.0,25.91085476723781,154.464934485983
5,2021-08-08 05:00:00,18000.0,26.318755887339684,146.464436102514
6,2021-08-08 06:00:00,21600.0,26.88487940386385,139.802576349679
7,2021-08-08 07:00:00,25200.0,28.487750748023945,148.459229284799
8,2021-08-08 08:00:00,28800.0,34.92513990991988,167.250761321763
9,2021-08-08 09:00:00,32400.0,36.15351797688267,151.26596005545
10,2021-08-08 10:00:00,36000.0,35.55413697733163,140.775758615325
11,2021-08-08 11:00:00,39600.0,37.17317640146467,124.032176045592
12,2021-08-08 12:00:00,43200.0,41.17395284323929,116.19360109819901
13,2021-08-08 13:00:00,46800.0,43.16033813345367,112.19284678363802
14,2021-08-08 14:00:00,50400.0,41.246949336114646,112.01172078760999
15,2021-08-08 15:00:00,54000.0,63.56165454928652,116.08637299318198
16,2021-08-08 16:00:00,57600.0,64.82737539355534,118.200446195423
17,2021-08-08 17:00:00,61200.0,50.34110713032594,128.538684590207
18,2021-08-08 18:00:00,64800.0,54.64644594229759,130.427765035953
19,2021-08-08 19:00:00,68400.0,45.3514233044324,146.343916953124
20,2021-08-08 20:00:00,72000.0,46.9919558515441,154.260517592126
21,2021-08-08 21:00:00,75600.0,39.88998258333138,162.227520018161
22,2021-08-08 22:00:00,79200.0,38.96727954401762,170.204482834932
23,2021-08-08 23:00:00,82800.0,32.90772740393691,172.919975795043
24,2021-08-09 00:00:00,86400.0,25.511212809358003,171.86894147376
25,2021-08-09 01:00:00,90000.0,25.445090608725987,169.189627936098
26,2021-08-09 02:00:00,93600.0,25.556505733053978,166.28615035908
27,2021-08-09 03:00:00,97200.0,25.508393374210137,163.328451003652
28,2021-08-09 04:00:00,100800.0,27.394504802512323,160.33829750662
29,2021-08-09 05:00:00,104400.0,27.071354840147116,153.622610602583
30,2021-08-09 06:00:00,108000.0,27.75998089198673,144.07237960226
31,2021-08-09 07:00:00,111600.0,28.69282900040314,146.690194435793
32,2021-08-09 08:00:00,115200.0,34.76750818633818,149.338932257361
33,2021-08-09 09:00:00,118800.0,35.54804500601885,141.823288646999
34,2021-08-09 10:00:00,122400.0,36.98968678154845,131.223033571045
35,2021-08-09 11:00:00,126000.0,35.641822424650464,125.02915433189298
36,2021-08-09 12:00:00,129600.0,38.21595331571653,122.496334306467
37,2021-08-09 13:00:00,133200.0,32.0742619350442,120.34972803718
38,2021-08-09 14:00:00,136800.0,29.754374477746374,125.35442186199602
39,2021-08-09 15:00:00,140400.0,61.1923638447576,131.028403431952
40,2021-08-09 16:00:00,144000.0,82.76178921875376,140.308330579733
41,2021-08-09 17:00:00,147600.0,66.55426279816612,155.166265960431
42,2021-08-09 18:00:00,151200.0,49.07921829428706,159.456716108546
43,2021-08-09 19:00:00,154800.0,49.99828146325219,169.778317020232
44,2021-08-09 20:00:00,158400.0,46.54377089950189,177.574840492316
45,2021-08-09 21:00:00,162000.0,42.68910417392358,177.874078411765
46,2021-08-09 22:00:00,165600.0,39.29769119527356,179.688858446748
47,2021-08-09 23:00:00,169200.0,32.0889006863769,179.45478137192
48,2021-08-10 00:00:00,172800.0,25.553198011794578,175.867114926379
49,2021-08-10 01:00:00,176400.0,26.843237700543995,173.340900960418
50,2021-08-10 02:00:00,180000.0,25.504347708267677,172.394016651928
51,2021-08-10 03:00:00,183600.0,25.486548716121195,167.809048325775
52,2021-08-10 04:00:00,187200.0,28.1233003087278,159.223822915343
53,2021-08-10 05:00:00,190800.0,30.442712406808024,150.739874631629
54,2021-08-10 06:00:00,194400.0,29.88062400355151,138.956779746846
55,2021-08-10 07:00:00,198000.0,34.33530185982669,149.43113295829
56,2021-08-10 08:00:00,201600.0,36.90533415624638,156.172628481744
57,2021-08-10 09:00:00,205200.0,35.72270631603967,150.420905351769
58,2021-08-10 10:00:00,208800.0,35.71539430642962,146.944855265801
59,2021-08-10 11:00:00,212400.0,39.00499406287201,139.14792138142
60,2021-08-10 12:00:00,216000.0,40.059626578481975,140.772317466069
61,2021-08-10 13:00:00,219600.0,40.95676928857913,144.008749911207
62,2021-08-10 14:00:00,223200.0,35.7548520248673,149.930557367924
63,2021-08-10 15:00:00,226800.0,68.68163628744583,149.698027231753
64,2021-08-10 16:00:00,230400.0,82.48272233532367,153.611229553898
65,2021-08-10 17:00:00,234000.0,59.84673577863281,161.170361082606
66,2021-08-10 18:00:00,237600.0,54.59748382413276,149.875088567537
67,2021-08-10 19:00:00,241200.0,50.1625369544545,149.157640517905
68,2021-08-10 20:00:00,244800.0,46.69180792037489,163.639732945495
69,2021-08-10 21:00:00,248400.0,42.55277244548484,169.697797284667
70,2021-08-10 22:00:00,252000.0,39.69730257146519,170.693189169591
71,2021-08-10 23:00:00,255600.0,32.666375510993696,169.429434997989
72,2021-08-11 00:00:00,259200.0,25.378715429100975,166.695520839798
73,2021-08-11 01:00:00,262800.0,25.579374827200187,158.833804952916
74,2021-08-11 02:00:00,266400.0,25.594312009969894,150.010208923631
75,2021-08-11 03:00:00,270000.0,25.45019392678553,142.12723052277
76,2021-08-11 04:00:00,273600.0,26.912275605622966,137.375840010366
77,2021-08-11 05:00:00,277200.0,29.45060329501819,133.833792470095
78,2021-08-11 06:00:00,280800.0,31.788690841189286,119.373412431501
79,2021-08-11 07:00:00,284400.0,34.167430990975774,116.604163353087
80,2021-08-11 08:00:00,288000.0,35.47724658478964,125.583471386191
81,2021-08-11 09:00:00,291600.0,38.881729993788085,116.296543551735
82,2021-08-11 10:00:00,295200.0,41.1288570447688,106.761971359034
83,2021-08-11 11:00:00,298800.0,38.96405180806264,104.86784757756699
84,2021-08-11 12:00:00,302400.0,32.17767407042248,108.159961921784
85,2021-08-11 13:00:00,306000.0,29.951542699673247,119.52736439797201
86,2021-08-11 14:00:00,309600.0,29.75483281397677,121.938197260794
87,2021-08-11 15:00:00,313200.0,41.16536393931338,125.377152389189
88,2021-08-11 16:00:00,316800.0,79.97961534750601,126.689571988109
89,2021-08-11 17:00:00,320400.0,82.22731179015655,122.33861759642998
90,2021-08-11 18:00:00,324000.0,55.94822475398453,119.144489188013
91,2021-08-11 19:00:00,327600.0,55.7549636317293,127.54851756951902
92,2021-08-11 20:00:00,331200.0,43.3949610631362,148.699241552838
93,2021-08-11 21:00:00,334800.0,43.21713693639731,160.001806778715
94,2021-08-11 22:00:00,338400.0,39.0711088544303,160.584955296845
95,2021-08-11 23:00:00,342000.0,31.863375330803912,159.446755717811
