# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac,,
8/1/2021 0:00,199186,1831330,808935,,
8/1/2021 0:05,199186,1754740,853547,,
8/1/2021 0:10,199186,1533390,847355,,
8/1/2021 0:15,199186,1220220,839518,,
8/1/2021 0:20,199186,1097000,836839,,
8/1/2021 0:25,199186,1110860,837663,,
8/1/2021 0:30,199186,1102210,837422,,
8/1/2021 0:35,199186,1131950,839574,,
8/1/2021 0:40,199186,1131980,839054,,
8/1/2021 0:45,199186,1106390,838679,,
8/1/2021 0:50,199186,1071690,838102,,
8/1/2021 0:55,199186,1086610,838737,,
8/1/2021 1:00,199186,1089900,838611,,
8/1/2021 1:05,199186,1096020,838680,,
8/1/2021 1:10,199186,1084130,837016,,
8/1/2021 1:15,199186,1088370,837023,,
8/1/2021 1:20,199186,1073740,836560,,
8/1/2021 1:25,199186,1086040,837027,,
8/1/2021 1:30,199186,1061960,836625,,
8/1/2021 1:35,199186,1092740,837048,,
8/1/2021 1:40,199186,1076230,836421,,
8/1/2021 1:45,199186,1054250,836058,,
8/1/2021 1:50,199186,1023900,835559,,
8/1/2021 1:55,199186,1052550,836393,,
8/1/2021 2:00,199186,1060180,836171,,
8/1/2021 2:05,199186,1066470,837675,,
8/1/2021 2:10,199186,1035860,836902,,
8/1/2021 2:15,199186,1024830,836876,,
8/1/2021 2:20,199186,1051680,837176,,
8/1/2021 2:25,199186,1033820,837048,,
8/1/2021 2:30,199186,1034880,837567,,
8/1/2021 2:35,199186,1088170,838059,,
8/1/2021 2:40,199186,1094060,838197,,
8/1/2021 2:45,199186,1088020,838331,,
8/1/2021 2:50,199186,1045100,837528,,
8/1/2021 2:55,199186,1024640,837129,,
8/1/2021 3:00,199186,1016880,835319,,
8/1/2021 3:05,199186,1049350,835830,,
8/1/2021 3:10,199186,1073440,836436,,
8/1/2021 3:15,199186,1094380,836563,,
8/1/2021 3:20,199186,1087090,836536,,
8/1/2021 3:25,199186,1063540,836613,,
8/1/2021 3:30,199186,1040470,836309,,
8/1/2021 3:35,199186,1050190,836399,,
8/1/2021 3:40,199186,1088120,837239,,
8/1/2021 3:45,199186,1081530,836953,,
8/1/2021 3:50,199186,1075500,836585,,
8/1/2021 3:55,199186,1044140,835624,,
8/1/2021 4:00,199186,1061690,836424,,
8/1/2021 4:05,199186,1050040,836352,,
8/1/2021 4:10,199186,1077860,836369,,
8/1/2021 4:15,199186,1093450,836214,,
8/1/2021 4:20,199186,1079160,836049,,
8/1/2021 4:25,199186,1104470,836915,,
8/1/2021 4:30,199186,1100350,836479,,
8/1/2021 4:35,199186,1029900,835735,,
