# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac
8/1/2021 10:55,199186,1390770,908280
8/1/2021 11:00,199186,1321850,889575
8/1/2021 11:05,199186,1331700,900274
8/1/2021 11:10,199186,1349070,887344
8/1/2021 11:15,199186,1402010,902327
8/1/2021 11:20,199186,1452600,904663
8/1/2021 11:25,199186,1417690,890892
8/1/2021 11:30,199186,1397740,896507
8/1/2021 11:35,199186,1362780,904945
8/1/2021 11:40,199186,1353990,906057
8/1/2021 11:45,199186,1347770,905882
8/1/2021 11:50,199186,1352500,908318
8/1/2021 11:55,199186,1388920,924041
8/1/2021 12:00,199186,1337900,898367
8/1/2021 12:05,199186,1336100,915855
8/1/2021 12:10,199186,1281010,928257
8/1/2021 12:15,199186,1305800,913652
8/1/2021 12:20,199186,1303600,911630
8/1/2021 12:25,199186,1292610,916812
8/1/2021 12:30,199186,1338860,928722
8/1/2021 12:35,199186,1276260,905890
8/1/2021 12:40,199186,1360690,946617
8/1/2021 12:45,199186,1315550,933232
8/1/2021 12:50,199186,1292340,947555
8/1/2021 12:55,199186,1222490,932241
8/1/2021 13:00,199186,1319400,957696
8/1/2021 13:05,199186,1322380,931138
8/1/2021 13:10,199186,1386640,942164
8/1/2021 13:15,199186,1358510,952806
8/1/2021 13:20,199186,1309300,946711
8/1/2021 13:25,199186,1364220,961640
8/1/2021 13:30,199186,1424630,964872
8/1/2021 13:35,199186,1534730,975222
8/1/2021 13:40,199186,1435860,942983
8/1/2021 13:45,199186,1386590,935218
8/1/2021 13:50,199186,1523970,964879
8/1/2021 13:55,199186,1329630,927162
8/1/2021 14:00,199186,1233650,953868
8/1/2021 14:05,199186,1407480,1000080
8/1/2021 14:10,199186,1165740,979985
8/1/2021 14:15,199186,1361710,999520
8/1/2021 14:20,199186,1339600,1011340
8/1/2021 14:25,199186,1272870,979905
8/1/2021 14:30,199186,1325930,1014240
8/1/2021 14:35,199186,1273910,1009550
8/1/2021 14:40,199186,1351830,1031890
8/1/2021 14:45,199186,1345360,1013680
8/1/2021 14:50,199186,1385440,1017530
8/1/2021 14:55,199186,1728740,1028470
8/1/2021 15:00,199186,1742060,1020800
8/1/2021 15:05,199186,1609430,963451
8/1/2021 15:10,199186,1770460,1034770
8/1/2021 15:15,199186,1677410,1005220
8/1/2021 15:20,199186,1966320,1075470
8/1/2021 15:25,199186,1911510,1032610
8/1/2021 15:30,199186,1843320,1001670
8/1/2021 15:35,199186,1890120,1023630
8/1/2021 15:40,199186,1945510,1023840
8/1/2021 15:45,199186,1975730,1039080
8/1/2021 15:50,199186,1947360,1026310
8/1/2021 15:55,199186,1906670,999050
8/1/2021 16:00,199186,2003300,1028440
8/1/2021 16:05,199186,1934100,1006330
8/1/2021 16:10,199186,1929060,1007800
8/1/2021 16:15,199186,1925200,1022090
8/1/2021 16:20,199186,1975610,1026330
8/1/2021 16:25,199186,2035150,1038970
8/1/2021 16:30,199186,1984360,1030710
8/1/2021 16:35,199186,1918300,1011140
8/1/2021 16:40,199186,1987690,1046040
8/1/2021 16:45,199186,1985440,1050530
8/1/2021 16:50,199186,1851970,1041750
8/1/2021 16:55,199186,1766710,1062180
8/1/2021 17:00,199186,1943850,1108230
8/1/2021 17:05,199186,1936210,1087230
8/1/2021 17:10,199186,1937600,1068950
8/1/2021 17:15,199186,1998850,1090260
8/1/2021 17:20,199186,2106560,1076970
8/1/2021 17:25,199186,2161700,1083540
8/1/2021 17:30,199186,2036380,1034240
8/1/2021 17:35,199186,2025630,1037600
8/1/2021 17:40,199186,2064560,1076740
8/1/2021 17:45,199186,2127970,1099050
8/1/2021 17:50,199186,2106670,1089380
8/1/2021 17:55,199186,2146520,1101660
8/1/2021 18:00,199186,2125200,1071370
8/1/2021 18:05,199186,2241420,1092100
8/1/2021 18:10,199186,2071960,1040030
8/1/2021 18:15,199186,2022470,1019640
8/1/2021 18:20,199186,2097320,1066030
8/1/2021 18:25,199186,2091000,1055950
8/1/2021 18:30,199186,2179800,1072690
8/1/2021 18:35,199186,2197740,1082720
8/1/2021 18:40,199186,2083710,1033350
8/1/2021 18:45,199186,2185760,1077840
8/1/2021 18:50,199186,2220510,1087000
8/1/2021 18:55,199186,2161900,1037560
8/1/2021 19:00,199186,2154340,1034870
8/1/2021 19:05,199186,2141780,1022220
8/1/2021 19:10,199186,2119210,1018720
8/1/2021 19:15,199186,2077470,1008420
8/1/2021 19:20,199186,2093870,1018220
8/1/2021 19:25,199186,2137680,1033470
8/1/2021 19:30,199186,2096580,1023200
8/1/2021 19:35,199186,2102900,1019090
8/1/2021 19:40,199186,2116010,1017370
8/1/2021 19:45,199186,2047120,995137
8/1/2021 19:50,199186,2160700,1042960
8/1/2021 19:55,199186,2137860,1032520
8/1/2021 20:00,199186,2182760,1042720
8/1/2021 20:05,199186,2120390,1026240
8/1/2021 20:10,199186,2161580,1032070
8/1/2021 20:15,199186,2024620,987209
8/1/2021 20:20,199186,2038850,993308
8/1/2021 20:25,199186,2066140,1008500
8/1/2021 20:30,199186,2093080,1014150
8/1/2021 20:35,199186,2100620,1016630
8/1/2021 20:40,199186,2045210,997755
8/1/2021 20:45,199186,1965960,972791
