# file...... outputs/Substation_output_60.csv
# date...... Thu Jun 11 14:49:37 2026
# user...... mukh915
# host...... (null)
# target.... substation 9146
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-01 04:00:00 CDT,+199186+0i,+1.06169e+06+836424j,+351895+463157j,+321863+305248j,+387933+68018.7j
2021-08-01 04:05:00 CDT,+199186+0i,+1.05004e+06+836352j,+339672+462901j,+337706+305555j,+372664+67896j
2021-08-01 04:10:00 CDT,+199186+0i,+1.07786e+06+836369j,+376952+463341j,+346776+305680j,+354129+67348.4j
2021-08-01 04:15:00 CDT,+199186+0i,+1.09345e+06+836214j,+400470+463632j,+345559+305493j,+347417+67089.8j
2021-08-01 04:20:00 CDT,+199186+0i,+1.07916e+06+836049j,+388851+463494j,+331100+305117j,+359213+67437.3j
2021-08-01 04:25:00 CDT,+199186+0i,+1.10447e+06+836915j,+369081+463300j,+329426+305069j,+405963+68546.1j
2021-08-01 04:30:00 CDT,+199186+0i,+1.10035e+06+836479j,+381258+463524j,+329019+304945j,+390074+68011.3j
2021-08-01 04:35:00 CDT,+199186+0i,+1.0299e+06+835735j,+351878+463126j,+306189+304726j,+371838+67884.1j
2021-08-01 04:40:00 CDT,+199186+0i,+1.05542e+06+836245j,+392085+463639j,+291901+304565j,+371433+68041.3j
2021-08-01 04:45:00 CDT,+199186+0i,+1.03838e+06+836173j,+363922+463219j,+301213+304846j,+373247+68107.8j
2021-08-01 04:50:00 CDT,+199186+0i,+1.04919e+06+836488j,+363377+463319j,+297060+304709j,+388756+68460.5j
2021-08-01 04:55:00 CDT,+199186+0i,+1.07694e+06+836634j,+366122+463303j,+324895+305147j,+385925+68183.9j
2021-08-01 05:00:00 CDT,+199186+0i,+1.07106e+06+836305j,+384249+463551j,+319699+305086j,+367113+67667.4j
2021-08-01 05:05:00 CDT,+199186+0i,+1.07522e+06+836599j,+376377+463491j,+311693+304877j,+387152+68230.8j
2021-08-01 05:10:00 CDT,+199186+0i,+1.11825e+06+837614j,+402667+463851j,+312889+304893j,+402694+68870.7j
2021-08-01 05:15:00 CDT,+199186+0i,+1.09985e+06+836996j,+393843+463750j,+307120+304673j,+398885+68573j
2021-08-01 05:20:00 CDT,+199186+0i,+1.08452e+06+836466j,+371794+463336j,+331708+305059j,+381018+68070.7j
2021-08-01 05:25:00 CDT,+199186+0i,+1.09883e+06+836672j,+366677+463253j,+344076+305352j,+388080+68067.3j
2021-08-01 05:30:00 CDT,+199186+0i,+1.09693e+06+836283j,+370729+463331j,+358921+305507j,+367278+67445.4j
2021-08-01 05:35:00 CDT,+199186+0i,+1.10531e+06+836231j,+382370+463446j,+357593+305547j,+365348+67237.4j
2021-08-01 05:40:00 CDT,+199186+0i,+1.0803e+06+836136j,+358860+463197j,+351944+305388j,+369492+67551.8j
2021-08-01 05:45:00 CDT,+199186+0i,+1.11713e+06+837164j,+387746+463488j,+341978+305282j,+387408+68393.8j
2021-08-01 05:50:00 CDT,+199186+0i,+1.09196e+06+836794j,+403443+463812j,+313787+304850j,+374725+68132.6j
2021-08-01 05:55:00 CDT,+199186+0i,+1.11669e+06+837406j,+388526+463574j,+316864+304857j,+411301+68975.3j
2021-08-01 06:00:00 CDT,+199186+0i,+1.09253e+06+837388j,+357155+463134j,+324331+305089j,+411044+69165.5j
2021-08-01 06:05:00 CDT,+199186+0i,+1.11151e+06+839948j,+364646+463345j,+341685+307634j,+405179+68969.5j
2021-08-01 06:10:00 CDT,+199186+0i,+1.11381e+06+839237j,+387034+463640j,+344469+307630j,+382304+67967j
2021-08-01 06:15:00 CDT,+199186+0i,+1.08439e+06+838862j,+388891+463756j,+337444+307571j,+358055+67535.3j
2021-08-01 06:20:00 CDT,+199186+0i,+1.12307e+06+839538j,+420676+464252j,+338654+307604j,+363740+67681.9j
2021-08-01 06:25:00 CDT,+199186+0i,+1.14703e+06+840209j,+397464+463863j,+347573+307531j,+401994+68814.7j
2021-08-01 06:30:00 CDT,+199186+0i,+1.15275e+06+840291j,+409700+464105j,+341075+307329j,+401977+68856.2j
2021-08-01 06:35:00 CDT,+199186+0i,+1.10676e+06+839257j,+368689+463475j,+350754+307523j,+387315+68259.2j
2021-08-01 06:40:00 CDT,+199186+0i,+1.06485e+06+837077j,+377425+463625j,+317936+305133j,+369491+68319j
2021-08-01 06:45:00 CDT,+199186+0i,+1.06613e+06+837624j,+369881+463469j,+325977+305276j,+370272+68879.3j
2021-08-01 06:50:00 CDT,+199186+0i,+1.08263e+06+837827j,+379761+463600j,+334728+305460j,+368143+68768j
2021-08-01 06:55:00 CDT,+199186+0i,+1.07827e+06+837900j,+365546+463396j,+346934+305955j,+365790+68549.2j
2021-08-01 07:00:00 CDT,+199186+0i,+1.07454e+06+838017j,+348576+463181j,+352686+306013j,+373279+68823.3j
2021-08-01 07:05:00 CDT,+199186+0i,+1.1245e+06+839694j,+359082+463498j,+367524+306247j,+397891+69948.9j
2021-08-01 07:10:00 CDT,+199186+0i,+1.11512e+06+839186j,+369617+463723j,+344045+305692j,+401457+69770.5j
2021-08-01 07:15:00 CDT,+199186+0i,+1.08588e+06+839200j,+367745+463794j,+302208+305213j,+415929+70192.3j
2021-08-01 07:20:00 CDT,+199186+0i,+1.05691e+06+837975j,+383233+464051j,+299961+305092j,+373717+68831.7j
2021-08-01 07:25:00 CDT,+199186+0i,+1.10584e+06+838665j,+376946+463819j,+332671+305455j,+396225+69390.5j
2021-08-01 07:30:00 CDT,+199186+0i,+1.11232e+06+839320j,+373337+463907j,+322087+305413j,+416894+70000.2j
2021-08-01 07:35:00 CDT,+199186+0i,+1.05565e+06+838120j,+364319+463821j,+311934+305432j,+379392+68866.9j
2021-08-01 07:40:00 CDT,+199186+0i,+1.03622e+06+842399j,+352678+465157j,+302169+306802j,+381370+70440.1j
2021-08-01 07:45:00 CDT,+199186+0i,+1.06491e+06+843500j,+346699+465240j,+337641+307534j,+380569+70726.1j
2021-08-01 07:50:00 CDT,+199186+0i,+1.10972e+06+844618j,+371472+465512j,+363030+308351j,+375214+70754.4j
2021-08-01 07:55:00 CDT,+199186+0i,+1.02524e+06+844160j,+346946+465451j,+313165+307537j,+365134+71171.6j
2021-08-01 08:00:00 CDT,+199186+0i,+1.07242e+06+845344j,+355922+465491j,+334633+307910j,+381864+71943.5j
2021-08-01 08:05:00 CDT,+199186+0i,+1.08277e+06+845402j,+376030+466073j,+329793+307905j,+376945+71424.3j
2021-08-01 08:10:00 CDT,+199186+0i,+1.08941e+06+847461j,+363002+465908j,+341329+309774j,+385080+71778.1j
2021-08-01 08:15:00 CDT,+199186+0i,+1.06314e+06+847010j,+362256+465960j,+331529+309755j,+369360+71294.6j
2021-08-01 08:20:00 CDT,+199186+0i,+1.08198e+06+847563j,+364866+466090j,+341945+309910j,+375166+71563.6j
2021-08-01 08:25:00 CDT,+199186+0i,+1.10459e+06+847779j,+373902+466077j,+366136+310660j,+364557+71042.4j
2021-08-01 08:30:00 CDT,+199186+0i,+1.10281e+06+848576j,+376262+466581j,+357714+310839j,+368829+71156.7j
2021-08-01 08:35:00 CDT,+199186+0i,+1.06613e+06+848750j,+355998+466456j,+341524+310499j,+368608+71795.4j
2021-08-01 08:40:00 CDT,+199186+0i,+1.09859e+06+856706j,+360109+469256j,+368780+313004j,+369699+74446.4j
2021-08-01 08:45:00 CDT,+199186+0i,+1.10659e+06+860001j,+365993+470211j,+360555+313991j,+380042+75799.9j
2021-08-01 08:50:00 CDT,+199186+0i,+1.07536e+06+861121j,+349073+470240j,+336226+314329j,+390060+76552.8j
2021-08-01 08:55:00 CDT,+199186+0i,+1.07867e+06+861471j,+349037+470492j,+339329+314326j,+390307+76653.3j
2021-08-01 09:00:00 CDT,+199186+0i,+1.06202e+06+862958j,+344373+470376j,+348708+316096j,+368937+76485.7j
2021-08-01 09:05:00 CDT,+199186+0i,+1.05101e+06+865593j,+326957+470618j,+340268+316251j,+383782+78724j
2021-08-01 09:10:00 CDT,+199186+0i,+1.07459e+06+869618j,+347044+472652j,+341204+318335j,+386343+78632.2j
2021-08-01 09:15:00 CDT,+199186+0i,+1.05878e+06+865798j,+338112+470906j,+332494+316315j,+388178+78577j
2021-08-01 09:20:00 CDT,+199186+0i,+1.05107e+06+864089j,+342999+471130j,+329138+314708j,+378931+78251.3j
2021-08-01 09:25:00 CDT,+199186+0i,+1.1019e+06+875691j,+332536+470981j,+343313+319902j,+426052+84807.9j
2021-08-01 09:30:00 CDT,+199186+0i,+1.01557e+06+864174j,+312687+471005j,+328527+314707j,+374353+78461.2j
2021-08-01 09:35:00 CDT,+199186+0i,+1.06725e+06+872965j,+342732+475751j,+328698+317603j,+395817+79611j
2021-08-01 09:40:00 CDT,+199186+0i,+1.04578e+06+870533j,+348173+474991j,+308419+315378j,+389186+80164.2j
2021-08-01 09:45:00 CDT,+199186+0i,+1.04832e+06+874092j,+351454+476851j,+319109+317472j,+377758+79768.6j
2021-08-01 09:50:00 CDT,+199186+0i,+1.04035e+06+875042j,+345915+476478j,+332975+317515j,+361463+81049.2j
2021-08-01 09:55:00 CDT,+199186+0i,+1.04952e+06+880809j,+334088+479731j,+355938+321477j,+359492+79601.6j
2021-08-01 10:00:00 CDT,+199186+0i,+1.06916e+06+871701j,+343926+475084j,+345104+316379j,+380125+80238.1j
2021-08-01 10:05:00 CDT,+199186+0i,+1.03074e+06+873359j,+339835+476940j,+311703+315986j,+379197+80433j
2021-08-01 10:10:00 CDT,+199186+0i,+969321+875251j,+317634+477428j,+296231+316734j,+355456+81088.9j
2021-08-01 10:15:00 CDT,+199186+0i,+977169+879160j,+307179+479555j,+325683+321484j,+344307+78121.6j
2021-08-01 10:20:00 CDT,+199186+0i,+1.05535e+06+874184j,+344396+475126j,+341384+318416j,+369568+80642j
2021-08-01 10:25:00 CDT,+199186+0i,+996073+884386j,+331717+480601j,+316730+321815j,+347625+81970.5j
2021-08-01 10:30:00 CDT,+199186+0i,+1.04462e+06+874633j,+367220+477784j,+319101+318967j,+358295+77882.1j
2021-08-01 10:35:00 CDT,+199186+0i,+1.07974e+06+871647j,+373891+474940j,+324003+315477j,+381844+81229.9j
2021-08-01 10:40:00 CDT,+199186+0i,+1.09683e+06+879161j,+354526+476132j,+338863+317756j,+403443+85273j
2021-08-01 10:45:00 CDT,+199186+0i,+1.10289e+06+880803j,+339215+476467j,+350694+318228j,+412981+86107.4j
2021-08-01 10:50:00 CDT,+199186+0i,+1.02814e+06+874577j,+330710+476092j,+318981+315597j,+378448+82887.9j
2021-08-01 10:55:00 CDT,+199186+0i,+1.1409e+06+884014j,+377846+479308j,+342007+318561j,+421050+86145.1j
2021-08-01 11:00:00 CDT,+199186+0i,+1.1571e+06+884545j,+381960+479327j,+346638+318120j,+428502+87098.3j
2021-08-01 11:05:00 CDT,+199186+0i,+1.12733e+06+892578j,+373376+483538j,+346804+323343j,+407148+85697.3j
