# file...... outputs/Substation_output_R4_12_47_1.csv
# date...... Sun Nov 02 12:28:57 2025
# user...... mukh915
# host...... (null)
# target.... substation 8960
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-01 04:00:00 CDT,+199186+0i,+1.14173e+06+837439j,+378078+463506j,+385670+306374j,+377985+67559.7j
2021-08-01 04:05:00 CDT,+199186+0i,+1.17881e+06+838191j,+384253+463646j,+385730+306012j,+408828+68533.3j
2021-08-01 04:10:00 CDT,+199186+0i,+1.18881e+06+838742j,+384578+463761j,+358031+305421j,+446198+69560.4j
2021-08-01 04:15:00 CDT,+199186+0i,+1.14678e+06+838069j,+369463+463619j,+340010+305073j,+437310+69376.9j
2021-08-01 04:20:00 CDT,+199186+0i,+1.14729e+06+837805j,+369404+463573j,+366266+305638j,+411616+68592.8j
2021-08-01 04:25:00 CDT,+199186+0i,+1.16043e+06+837808j,+392247+463772j,+367787+305785j,+400398+68250.6j
2021-08-01 04:30:00 CDT,+199186+0i,+1.19276e+06+838061j,+410233+464041j,+378593+305708j,+403933+68311.6j
2021-08-01 04:35:00 CDT,+199186+0i,+1.19443e+06+838767j,+418394+464256j,+347113+305199j,+428919+69312.3j
2021-08-01 04:40:00 CDT,+199186+0i,+1.17965e+06+838416j,+410597+464157j,+360975+305373j,+408077+68885.8j
2021-08-01 04:45:00 CDT,+199186+0i,+1.17758e+06+838078j,+404582+464023j,+366759+305500j,+406239+68554.8j
2021-08-01 04:50:00 CDT,+199186+0i,+1.18713e+06+838253j,+422603+464239j,+360338+305541j,+404187+68473j
2021-08-01 04:55:00 CDT,+199186+0i,+1.19351e+06+838254j,+427208+464303j,+360634+305613j,+405670+68337.7j
2021-08-01 05:00:00 CDT,+199186+0i,+1.21819e+06+838904j,+425131+464261j,+375722+305802j,+417336+68841j
2021-08-01 05:05:00 CDT,+199186+0i,+1.2186e+06+839741j,+411540+464091j,+363107+305746j,+443957+69902.9j
2021-08-01 05:10:00 CDT,+199186+0i,+1.19447e+06+839409j,+409910+464146j,+335738+305173j,+448819+70090.7j
2021-08-01 05:15:00 CDT,+199186+0i,+1.17356e+06+838854j,+382822+463709j,+340677+305143j,+450063+70001.4j
2021-08-01 05:20:00 CDT,+199186+0i,+1.14206e+06+837598j,+378133+463639j,+353382+305401j,+410541+68558.7j
2021-08-01 05:25:00 CDT,+199186+0i,+1.17149e+06+838335j,+389284+463710j,+372140+306034j,+410069+68591j
2021-08-01 05:30:00 CDT,+199186+0i,+1.20161e+06+838842j,+405910+464009j,+373834+305983j,+421862+68850j
2021-08-01 05:35:00 CDT,+199186+0i,+1.23e+06+839697j,+405469+463950j,+375438+305714j,+449094+70032.7j
2021-08-01 05:40:00 CDT,+199186+0i,+1.23282e+06+840164j,+408143+463935j,+373700+305852j,+450976+70376.8j
2021-08-01 05:45:00 CDT,+199186+0i,+1.18392e+06+838765j,+406807+464001j,+353056+305532j,+424060+69232.1j
2021-08-01 05:50:00 CDT,+199186+0i,+1.21884e+06+838947j,+447407+464738j,+356096+305400j,+415333+68810.1j
2021-08-01 05:55:00 CDT,+199186+0i,+1.21894e+06+839472j,+441909+464614j,+352870+305863j,+424165+68994.4j
2021-08-01 06:00:00 CDT,+199186+0i,+1.20626e+06+838872j,+416385+464150j,+373250+306098j,+416628+68624j
2021-08-01 06:05:00 CDT,+199186+0i,+1.26568e+06+839898j,+421770+464174j,+398051+306362j,+445856+69361.9j
2021-08-01 06:10:00 CDT,+199186+0i,+1.25252e+06+840097j,+419737+464115j,+379339+306235j,+453447+69747.1j
2021-08-01 06:15:00 CDT,+199186+0i,+1.22691e+06+839250j,+420277+464105j,+380717+306110j,+425917+69034.7j
2021-08-01 06:20:00 CDT,+199186+0i,+1.20461e+06+838677j,+407101+463932j,+377511+306167j,+419999+68578.3j
2021-08-01 06:25:00 CDT,+199186+0i,+1.21033e+06+838696j,+394991+463751j,+387911+306177j,+427430+68767.1j
2021-08-01 06:30:00 CDT,+199186+0i,+1.22519e+06+839272j,+415440+464108j,+380575+306082j,+429179+69081.8j
2021-08-01 06:35:00 CDT,+199186+0i,+1.20356e+06+838908j,+400397+463987j,+364622+305595j,+438539+69326j
2021-08-01 06:40:00 CDT,+199186+0i,+1.19831e+06+839245j,+388190+463836j,+357168+305446j,+452951+69963.1j
2021-08-01 06:45:00 CDT,+199186+0i,+1.18839e+06+838808j,+404793+464088j,+361186+305533j,+422407+69186.9j
2021-08-01 06:50:00 CDT,+199186+0i,+1.25004e+06+840371j,+436187+464718j,+378058+305913j,+435797+69739.9j
2021-08-01 06:55:00 CDT,+199186+0i,+1.25953e+06+841064j,+444133+465030j,+366832+305904j,+448563+70130.5j
2021-08-01 07:00:00 CDT,+199186+0i,+1.27613e+06+841545j,+443531+464976j,+382127+306457j,+450469+70111.6j
2021-08-01 07:05:00 CDT,+199186+0i,+1.30897e+06+845458j,+442328+466509j,+393343+306635j,+473299+72314.6j
2021-08-01 07:10:00 CDT,+199186+0i,+1.32859e+06+845966j,+466256+467046j,+398164+306766j,+464174+72153.7j
2021-08-01 07:15:00 CDT,+199186+0i,+1.29947e+06+845185j,+463427+466961j,+381038+306406j,+455001+71817.6j
