# file...... outputs/Substation_output.csv
# date...... Mon Jun 15 17:10:03 2026
# user...... jacob
# host...... (null)
# target.... substation 9572
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-06 04:00:00 CDT,+199186+0i,+1.13343e+06+837742j,+383386+463550j,+359453+305994j,+390593+68197.9j
2021-08-06 04:05:00 CDT,+199186+0i,+1.15123e+06+838456j,+385599+463606j,+364273+306031j,+401353+68818.8j
2021-08-06 04:10:00 CDT,+199186+0i,+1.1312e+06+837936j,+393275+463711j,+360744+305991j,+377183+68234.6j
2021-08-06 04:15:00 CDT,+199186+0i,+1.11057e+06+837142j,+406854+463914j,+339564+305491j,+364157+67737.2j
2021-08-06 04:20:00 CDT,+199186+0i,+1.09361e+06+837147j,+392847+463726j,+329795+305599j,+370967+67822.6j
2021-08-06 04:25:00 CDT,+199186+0i,+1.13571e+06+837880j,+382490+463572j,+341786+305387j,+411430+68921j
2021-08-06 04:30:00 CDT,+199186+0i,+1.11222e+06+837288j,+374868+463554j,+332741+305157j,+404611+68575.7j
2021-08-06 04:35:00 CDT,+199186+0i,+1.07151e+06+837055j,+359728+463422j,+311705+304903j,+400078+68730.4j
2021-08-06 04:40:00 CDT,+199186+0i,+1.05181e+06+836457j,+371579+463468j,+307932+304928j,+372301+68060.9j
2021-08-06 04:45:00 CDT,+199186+0i,+1.05173e+06+836712j,+374470+463563j,+298499+304799j,+378760+68349.2j
2021-08-06 04:50:00 CDT,+199186+0i,+1.07974e+06+837239j,+374831+463561j,+312732+304960j,+392177+68718.6j
2021-08-06 04:55:00 CDT,+199186+0i,+1.07903e+06+837156j,+372053+463537j,+322473+305262j,+384504+68357.3j
2021-08-06 05:00:00 CDT,+199186+0i,+1.09895e+06+837096j,+385967+463685j,+337886+305492j,+375098+67919.8j
2021-08-06 05:05:00 CDT,+199186+0i,+1.1107e+06+837812j,+392850+463851j,+314290+305084j,+403557+68876.8j
2021-08-06 05:10:00 CDT,+199186+0i,+1.11613e+06+837933j,+405955+463993j,+314421+305151j,+395756+68789.3j
2021-08-06 05:15:00 CDT,+199186+0i,+1.14313e+06+838041j,+415640+464203j,+325705+305074j,+401781+68764.7j
2021-08-06 05:20:00 CDT,+199186+0i,+1.11514e+06+837516j,+380900+463617j,+339340+305302j,+394898+68597.1j
2021-08-06 05:25:00 CDT,+199186+0i,+1.12134e+06+838011j,+356414+463202j,+354520+305768j,+410406+69041.3j
2021-08-06 05:30:00 CDT,+199186+0i,+1.12265e+06+837268j,+386375+463686j,+359005+305679j,+377269+67901.8j
2021-08-06 05:35:00 CDT,+199186+0i,+1.13788e+06+837219j,+383843+463585j,+374802+305925j,+379237+67709.1j
2021-08-06 05:40:00 CDT,+199186+0i,+1.12403e+06+837172j,+359786+463299j,+379928+305935j,+384318+67938.1j
2021-08-06 05:45:00 CDT,+199186+0i,+1.13033e+06+837551j,+398505+463775j,+345749+305475j,+386073+68301.6j
2021-08-06 05:50:00 CDT,+199186+0i,+1.12319e+06+837609j,+407167+463955j,+335005+305308j,+381013+68346.6j
2021-08-06 05:55:00 CDT,+199186+0i,+1.15247e+06+838439j,+396592+463800j,+340225+305334j,+415650+69305.1j
2021-08-06 06:00:00 CDT,+199186+0i,+1.12987e+06+838234j,+375067+463468j,+341764+305478j,+413040+69287.6j
2021-08-06 06:05:00 CDT,+199186+0i,+1.14641e+06+839057j,+387752+463742j,+350577+305946j,+408080+69368.1j
2021-08-06 06:10:00 CDT,+199186+0i,+1.17551e+06+839060j,+418566+464242j,+350091+305838j,+406850+68979.5j
2021-08-06 06:15:00 CDT,+199186+0i,+1.10609e+06+838069j,+396529+463986j,+329634+305650j,+379925+68433.6j
2021-08-06 06:20:00 CDT,+199186+0i,+1.16508e+06+838959j,+433108+464641j,+341745+305641j,+390228+68676.2j
2021-08-06 06:25:00 CDT,+199186+0i,+1.17908e+06+839344j,+421234+464395j,+347508+305616j,+410340+69333.5j
2021-08-06 06:30:00 CDT,+199186+0i,+1.21222e+06+840055j,+438470+464666j,+355367+305764j,+418381+69624.4j
2021-08-06 06:35:00 CDT,+199186+0i,+1.16396e+06+839086j,+401811+464063j,+350189+305668j,+411960+69355.3j
2021-08-06 06:40:00 CDT,+199186+0i,+1.12736e+06+838832j,+399769+463981j,+338330+305673j,+389263+69178.3j
2021-08-06 06:45:00 CDT,+199186+0i,+1.11787e+06+838848j,+390505+463844j,+345606+305740j,+381763+69264.1j
2021-08-06 06:50:00 CDT,+199186+0i,+1.09188e+06+838254j,+384363+463783j,+336991+305526j,+370521+68945j
2021-08-06 06:55:00 CDT,+199186+0i,+1.09477e+06+838769j,+367585+463571j,+344241+305895j,+382940+69303.2j
2021-08-06 07:00:00 CDT,+199186+0i,+1.06485e+06+838425j,+343263+463230j,+350287+306171j,+371298+69024.1j
2021-08-06 07:05:00 CDT,+199186+0i,+1.10541e+06+839841j,+351959+463588j,+354966+306190j,+398481+70062.7j
2021-08-06 07:10:00 CDT,+199186+0i,+1.10271e+06+839648j,+357297+463679j,+342179+305844j,+403232+70124.6j
2021-08-06 07:15:00 CDT,+199186+0i,+1.03949e+06+838629j,+337737+463552j,+299228+305333j,+402524+69744.8j
2021-08-06 07:20:00 CDT,+199186+0i,+1.067e+06+838620j,+382313+464133j,+305693+305350j,+378999+69137.4j
2021-08-06 07:25:00 CDT,+199186+0i,+1.08417e+06+838751j,+368029+463840j,+326479+305516j,+389667+69395j
2021-08-06 07:30:00 CDT,+199186+0i,+1.07384e+06+839186j,+351588+463805j,+316829+305473j,+405428+69907.8j
